run iteration throughput state cores frequency explore
1 0 20468479 5 4 14 1
1 1 10528801 3 2 14 1
1 2 10300524 3 2 14 1
1 3 14597713 4 3 14 1
1 4 20575701 6 4 14 1
1 5 10773126 3 2 14 1
1 6 10271364 3 2 14 1
1 7 10271717 3 2 14 1
1 8 10300611 3 2 14 1
1 9 5187223 2 1 14 1
1 10 18610106 5 4 14 1
1 11 20295448 5 4 14 1
1 12 20588294 6 4 14 1
1 13 15586363 4 3 14 1
1 14 5507441 2 1 14 1
1 15 8371212 3 2 14 1
1 16 10230290 3 2 14 1
1 17 13582768 4 3 14 1
1 18 15432762 4 3 14 1
1 19 15436849 4 3 14 1
1 20 10354064 3 2 14 1
1 21 10300866 3 2 14 1
1 22 10260785 3 2 14 1
1 23 10297845 3 2 14 1
1 24 10295652 3 2 14 1
1 25 10238513 3 2 14 1
1 26 20022484 5 4 14 1
1 27 20589573 6 4 14 1
1 28 20587890 6 4 14 1
1 29 10664127 3 2 14 1
1 30 10276280 3 2 14 1
1 31 10296540 3 2 14 1
1 32 5475598 2 1 14 1
1 33 5100152 2 1 14 1
1 34 7618029 2 2 14 1
1 35 10297351 3 2 14 1
1 36 10297700 3 2 14 1
1 37 20271902 5 4 14 1
1 38 15562730 4 3 14 1
1 39 15358284 4 3 14 1
1 40 15445956 4 3 14 1
1 41 15431664 4 3 14 1
1 42 15445399 4 3 14 1
1 43 15443946 4 3 14 1
1 44 15446769 4 3 14 1
1 45 15446531 4 3 14 1
1 46 15447243 4 3 14 1
1 47 10300440 3 2 14 1
1 48 10279530 3 2 14 1
1 49 10287671 3 2 14 1
1 50 14710471 4 3 14 1
1 51 15447417 4 3 14 1
1 52 15446978 4 3 14 1
1 53 15446915 4 3 14 1
1 54 5653652 2 1 14 1
1 55 5148342 2 1 14 1
1 56 19663831 5 4 14 1
1 57 20577770 6 4 14 1
1 58 20582469 6 4 14 1
1 59 20582944 6 4 14 1
1 60 20578036 6 4 14 1
1 61 20574977 5 4 14 1
1 62 20577828 6 4 14 1
1 63 16210139 4 4 14 1
1 64 15433792 4 4 14 1
1 65 9793569 3 4 14 1
1 66 5148612 2 3 14 1
1 67 5148635 2 3 14 1
1 68 5143060 2 3 14 1
1 69 5147629 2 3 14 1

2 70 4260048 2 3 14 1
2 71 20547886 5 4 14 1
2 72 20577312 6 4 14 1
2 73 20574612 5 4 14 1
2 74 20348064 5 4 14 1
2 75 20577330 6 4 14 1
2 76 5325559 2 1 14 1
2 77 10202185 3 2 14 1
2 78 10270957 3 2 14 1
2 79 10285411 3 2 14 1
2 80 5401382 2 1 14 1
2 81 14569045 4 3 14 1
2 82 20572014 5 4 14 1
2 83 20278712 5 4 14 1
2 84 5859617 2 1 14 1
2 85 14594839 4 3 14 1
2 86 20572505 5 4 14 1
2 87 20567966 5 4 14 1
2 88 10947992 3 2 14 1
2 89 10293682 3 2 14 1
2 90 10270943 3 2 14 1
2 91 10297172 3 2 14 1
2 92 10260569 3 2 14 1
2 93 10268277 3 2 14 1
2 94 10298108 3 2 14 1
2 95 10290201 3 2 14 1
2 96 10258700 3 2 14 1
2 97 10267862 3 2 14 1
2 98 10297181 3 2 14 1
2 99 10288804 3 2 14 1
2 100 10286036 3 2 14 1
2 101 10292789 3 2 14 1
2 102 10297500 3 2 14 1
2 103 14174530 4 4 14 1
2 104 20564213 5 4 14 1
2 105 20571362 5 4 14 1
2 106 20567132 5 4 14 1
2 107 20577746 6 4 14 1
2 108 10408191 3 2 14 1
2 109 10260489 3 2 14 1
2 110 13130178 4 3 14 1
2 111 15436258 4 3 14 1
2 112 15435606 4 3 14 1
2 113 10735469 3 2 14 1
2 114 10295928 3 2 14 1
2 115 10258749 3 2 14 1
2 116 10293453 3 2 14 1
2 117 18051056 5 4 14 1
2 118 20561371 5 4 14 1
2 119 20568717 5 4 14 1
2 120 15437979 4 3 14 1
2 121 15436219 4 4 14 1
2 122 15436354 4 4 14 1
2 123 15436938 4 4 14 1
2 124 5683598 2 1 14 1
2 125 5140264 2 1 14 1
2 126 5141848 2 1 14 1
2 127 5145924 2 1 14 1
2 128 5118577 2 1 14 1
2 129 5097688 2 1 14 1
2 130 15139239 4 4 14 1
2 131 15425564 4 4 14 1
2 132 15420415 4 4 14 1
2 133 15436095 4 4 14 1
2 134 5689580 2 1 14 1
2 135 5116874 2 1 14 1
2 136 5113966 2 1 14 1
2 137 5136235 2 1 14 1
2 138 5145465 2 1 14 1
2 139 13925821 4 3 14 1
2 140 15435583 4 4 14 1
2 141 15434283 4 4 14 1
2 142 11785155 3 4 14 1
2 143 5147860 2 4 14 1

3 144 20341196 5 4 14 1
3 145 10772115 3 2 14 0
3 146 10203615 3 2 14 0
3 147 10203930 3 2 14 0
3 148 10205980 3 2 14 0
3 149 10204966 3 2 14 0
3 150 10192898 3 2 14 0
3 151 10202889 3 2 14 0
3 152 10205498 3 2 14 0
3 153 10205951 3 2 14 0
3 154 10192669 3 2 14 0
3 155 10202414 3 2 14 0
3 156 10204174 3 2 14 0
3 157 10206095 3 2 14 0
3 158 10195425 3 2 14 0
3 159 10201850 3 2 14 0
3 160 10204966 3 2 14 0
3 161 10205578 3 2 14 0
3 162 10204688 3 2 14 0
3 163 10193792 3 2 14 0
3 164 10202298 3 2 14 0
3 165 10204708 3 2 14 0
3 166 10205308 3 2 14 0
3 167 10194828 3 2 14 0
3 168 10201504 3 2 14 0
3 169 10203308 3 2 14 0
3 170 10200287 3 2 14 0
3 171 10206986 3 2 14 0
3 172 10192957 3 2 14 0
3 173 10202954 3 2 14 0
3 174 10206104 3 2 14 0
3 175 10206470 3 2 14 0
3 176 10194146 3 2 14 0
3 177 10202660 3 2 14 0
3 178 10204636 3 2 14 0
3 179 10205648 3 2 14 0
3 180 10195443 3 2 14 0
3 181 10203508 3 2 14 0
3 182 10205551 3 2 14 0
3 183 10205802 3 2 14 0
3 184 10193194 3 2 14 0
3 185 10203187 3 2 14 0
3 186 10204884 3 2 14 0
3 187 10205676 3 2 14 0
3 188 10195761 3 2 14 0
3 189 10204774 3 2 14 0
3 190 10205846 3 2 14 0
3 191 10196927 3 2 14 0
3 192 10205093 3 2 14 0
3 193 10205524 3 2 14 0
3 194 10192893 3 2 14 0
3 195 10202407 3 2 14 0
3 196 10205521 3 2 14 0
3 197 10205226 3 2 14 0
3 198 10195786 3 2 14 0
3 199 10205213 3 2 14 0
3 200 10195434 3 2 14 0
3 201 10202397 3 2 14 0
3 202 10204184 3 2 14 0
3 203 10205194 3 2 14 0
3 204 10205350 3 2 14 0
3 205 10194222 3 2 14 0
3 206 10202254 3 2 14 0
3 207 10204610 3 2 14 0
3 208 10205414 3 2 14 0
3 209 10195488 3 2 14 0
3 210 10202914 3 2 14 0
3 211 10202338 3 2 14 0
3 212 10205592 3 2 14 0
3 213 10206180 3 2 14 0
3 214 10194155 3 2 14 0
3 215 10202075 3 2 14 0
3 216 10203766 3 2 14 0
3 217 10205545 3 2 14 0
3 218 10193412 3 2 14 0
3 219 10202556 3 2 14 0
3 220 10201471 3 2 14 0
3 221 10205516 3 2 14 0
3 222 10204513 3 2 14 0
3 223 10193528 3 2 14 0
3 224 10202762 3 2 14 0
3 225 10205371 3 2 14 0
3 226 10205304 3 2 14 0
3 227 10193716 3 2 14 0
3 228 10202326 3 2 14 0
3 229 10204387 3 2 14 0
3 230 10205371 3 2 14 0
3 231 10195277 3 2 14 0
3 232 10202392 3 2 14 0
3 233 10204563 3 2 14 0
3 234 10207356 3 2 14 0
3 235 10195465 3 2 14 0
3 236 10201813 3 2 14 0
3 237 10202470 3 2 14 0
3 238 10204366 3 2 14 0

4 239 15435770 4 2 14 0
4 240 10918708 3 2 14 0
4 241 10287524 3 2 14 0
4 242 10287392 3 2 14 0
4 243 10276390 3 2 14 0
4 244 10284308 3 2 14 0
4 245 10286548 3 2 14 0
4 246 10287149 3 2 14 0
4 247 10277209 3 2 14 0
4 248 10282819 3 2 14 0
4 249 10283993 3 2 14 0
4 250 10287404 3 2 14 0
4 251 10287844 3 2 14 0
4 252 10275913 3 2 14 0
4 253 10286140 3 2 14 0
4 254 10288928 3 2 14 0
4 255 10276898 3 2 14 0
4 256 10284291 3 2 14 0
4 257 10284452 3 2 14 0
4 258 10287731 3 2 14 0
4 259 10287471 3 2 14 0
4 260 10275638 3 2 14 0
4 261 10283976 3 2 14 0
4 262 10286071 3 2 14 0
4 263 10286830 3 2 14 0
4 264 10272716 3 2 14 0
4 265 10274594 3 2 14 0
4 266 10276261 3 2 14 0
4 267 10280572 3 2 14 0
4 268 10281369 3 2 14 0
4 269 10269701 3 2 14 0
4 270 10278125 3 2 14 0
4 271 10279082 3 2 14 0
4 272 10280433 3 2 14 0
4 273 10280986 3 2 14 0
4 274 10268505 3 2 14 0
4 275 10279728 3 2 14 0
4 276 10281587 3 2 14 0
4 277 10280329 3 2 14 0
4 278 10268533 3 2 14 0
4 279 10278746 3 2 14 0
4 280 10281204 3 2 14 0
4 281 10281334 3 2 14 0
4 282 10268311 3 2 14 0
4 283 10278083 3 2 14 0
4 284 10280793 3 2 14 0
4 285 10280890 3 2 14 0
4 286 10271577 3 2 14 0
4 287 10277904 3 2 14 0
4 288 10279423 3 2 14 0
4 289 10281517 3 2 14 0
4 290 10281378 3 2 14 0
4 291 10268603 3 2 14 0
4 292 10278467 3 2 14 0
4 293 10281459 3 2 14 0
4 294 10281464 3 2 14 0
4 295 10269122 3 2 14 0
4 296 10280413 3 2 14 0
4 297 10282680 3 2 14 0
4 298 10270301 3 2 14 0
4 299 10277827 3 2 14 0
4 300 10280021 3 2 14 0
4 301 10280923 3 2 14 0
4 302 10281652 3 2 14 0
4 303 10268702 3 2 14 0
4 304 10278713 3 2 14 0
4 305 10281142 3 2 14 0
4 306 10281196 3 2 14 0
4 307 10268838 3 2 14 0
4 308 10279418 3 2 14 0
4 309 10281628 3 2 14 0
4 310 10281732 3 2 14 0
4 311 10270135 3 2 14 0
4 312 10278536 3 2 14 0
4 313 10280019 3 2 14 0
4 314 10282047 3 2 14 0
4 315 10271671 3 2 14 0
4 316 10278818 3 2 14 0
4 317 10281428 3 2 14 0
4 318 10282019 3 2 14 0
4 319 10272886 3 2 14 0
4 320 10278126 3 2 14 0
4 321 10279689 3 2 14 0
4 322 10280666 3 2 14 0
4 323 10271890 3 2 14 0
4 324 10279475 3 2 14 0
4 325 10278431 3 2 14 0
4 326 10273968 3 2 14 0
4 327 10263704 3 2 14 0
4 328 10253982 3 2 14 0
4 329 10260901 3 2 14 0
4 330 10263249 3 2 14 0
4 331 10266864 3 2 14 0
4 332 10253259 3 2 14 0
4 333 10261599 3 2 14 0

5 334 838973 1 2 14 0
5 335 10726183 3 2 14 0
5 336 10292238 3 2 14 0
5 337 10299068 3 2 14 0
5 338 10285780 3 2 14 0
5 339 10295465 3 2 14 0
5 340 10296702 3 2 14 0
5 341 10299382 3 2 14 0
5 342 10299080 3 2 14 0
5 343 10286655 3 2 14 0
5 344 10295610 3 2 14 0
5 345 10299510 3 2 14 0
5 346 10298818 3 2 14 0
5 347 10287507 3 2 14 0
5 348 10295374 3 2 14 0
5 349 10296980 3 2 14 0
5 350 10299212 3 2 14 0
5 351 10300417 3 2 14 0
5 352 10284946 3 2 14 0
5 353 10295748 3 2 14 0
5 354 10298091 3 2 14 0
5 355 10299500 3 2 14 0
5 356 10288850 3 2 14 0
5 357 10296390 3 2 14 0
5 358 10297766 3 2 14 0
5 359 10299218 3 2 14 0
5 360 10288872 3 2 14 0
5 361 10289513 3 2 14 0
5 362 10299177 3 2 14 0
5 363 10299416 3 2 14 0
5 364 10289075 3 2 14 0
5 365 10296855 3 2 14 0
5 366 10295877 3 2 14 0
5 367 10299060 3 2 14 0
5 368 10297932 3 2 14 0
5 369 10288510 3 2 14 0
5 370 10299002 3 2 14 0
5 371 10299377 3 2 14 0
5 372 10286927 3 2 14 0
5 373 10295780 3 2 14 0
5 374 10297499 3 2 14 0
5 375 10298869 3 2 14 0
5 376 10288400 3 2 14 0
5 377 10296203 3 2 14 0
5 378 10298115 3 2 14 0
5 379 10299490 3 2 14 0
5 380 10288044 3 2 14 0
5 381 10296168 3 2 14 0
5 382 10296883 3 2 14 0
5 383 10300786 3 2 14 0
5 384 10288666 3 2 14 0
5 385 10296643 3 2 14 0
5 386 10296744 3 2 14 0
5 387 10299054 3 2 14 0
5 388 10299082 3 2 14 0
5 389 10287365 3 2 14 0
5 390 10295481 3 2 14 0
5 391 10298816 3 2 14 0
5 392 10298064 3 2 14 0
