run iteration throughput state cores frequency explore
1 0 20517910 5 4 14 1
1 1 20589545 6 4 14 1
1 2 20562335 5 4 14 1
1 3 20559373 5 4 14 1
1 4 19639686 5 4 13 1
1 5 20578224 6 4 14 1
1 6 19639560 5 4 13 1
1 7 14826730 4 3 13 1
1 8 14735167 4 3 12 1
1 9 14734841 4 3 12 1
1 10 19630308 5 4 13 1
1 11 19365455 5 4 12 1
1 12 17769143 5 4 11 1
1 13 14969815 4 3 12 1
1 14 14735145 4 3 13 1
1 15 14736388 4 3 12 1
1 16 14735669 4 3 13 1
1 17 9871562 3 2 13 1
1 18 5002306 2 1 12 1
1 19 6647925 2 2 11 1
1 20 5069603 2 1 12 1
1 21 9588119 3 2 13 1
1 22 5422839 2 1 14 1
1 23 5149919 2 1 14 1
1 24 5143941 2 1 14 1
1 25 4923357 2 1 13 1
1 26 4910547 2 1 12 1
1 27 4445681 2 1 11 1
1 28 4439520 2 1 11 1
1 29 4904006 2 1 12 1
1 30 9644971 3 2 13 1
1 31 5082610 2 1 13 1
1 32 4906121 2 1 13 1
1 33 4910839 2 1 12 1
1 34 4472161 2 1 11 1
1 35 6229474 2 2 10 1
1 36 4554407 2 1 10 1
1 37 4210472 2 1 9 1
1 38 4210549 2 1 9 1
1 39 8279085 3 2 9 1
1 40 12390440 4 3 9 1
1 41 16589896 5 4 9 1
1 42 11416249 3 3 8 1
1 43 11233476 3 3 8 1
1 44 11233229 3 3 8 1
1 45 7245109 2 2 7 1
1 46 7022259 2 2 7 1
1 47 3752061 1 1 7 1
1 48 3509674 1 1 6 1
1 49 3041954 1 1 5 1
1 50 3039291 1 1 5 1
1 51 3042275 1 1 5 1
1 52 5577136 2 2 4 1
1 53 2907105 1 1 3 1
1 54 2805394 1 1 3 1
1 55 5447671 2 2 4 1
1 56 5618376 2 2 4 1
1 57 5612499 2 2 4 1
1 58 8174422 2 3 4 1
1 59 5624076 2 2 3 1
1 60 5617966 2 2 3 1
1 61 7004789 2 3 4 1
1 62 8425530 3 3 3 1
1 63 4896914 2 2 2 1
1 64 5548701 2 2 3 1
1 65 5997419 2 3 2 1
1 66 8426087 3 3 3 1
1 67 7037755 2 3 2 1
1 68 8413116 3 4 1 1
1 69 8409110 3 4 1 1
1 70 7043582 2 3 2 1
1 71 9228260 3 4 2 1
1 72 8415836 3 4 1 1
1 73 6436907 2 3 1 1
1 74 4378637 2 2 1 1
1 75 6096317 2 3 1 1
1 76 4711101 2 2 2 1
1 77 5580709 2 2 3 1
1 78 8287991 3 3 3 1
1 79 11232295 3 4 3 1
1 80 8452679 3 3 3 1
1 81 5673690 2 2 4 1
1 82 3137771 1 1 5 1
1 83 3480632 1 1 6 1
1 84 3074805 1 1 5 1
1 85 5835891 2 2 5 1
1 86 8774261 3 3 5 1
1 87 5622742 2 2 4 1
1 88 2858058 1 1 4 1
1 89 5545319 2 2 3 1
1 90 8256749 3 3 3 1
1 91 8426586 3 3 3 1
1 92 8426895 3 3 4 1
1 93 11100842 3 4 3 1
1 94 8502135 3 3 4 1
1 95 12160795 3 4 5 1
1 96 9390019 3 3 5 1
1 97 9128717 3 3 5 1
1 98 5637613 2 2 4 1
1 99 3099515 1 1 5 1
1 100 3490882 1 1 6 1
1 101 3509838 1 1 7 1
1 102 3509741 1 1 7 1
1 103 7034990 2 2 8 1
1 104 10108320 3 3 7 1
1 105 7755976 2 2 8 1
1 106 3513556 1 1 7 1
1 107 3506470 1 1 7 1
1 108 3510089 1 1 6 1
1 109 3055306 1 1 5 1
1 110 3039049 1 1 5 1
1 111 2818600 1 1 4 1
1 112 5454027 2 2 3 1
1 113 6313488 2 3 4 1
1 114 6086477 2 4 5 1
1 115 6086602 2 4 5 1
1 116 7009353 2 3 6 1
1 117 4027421 1 4 7 1
1 118 3510530 1 3 6 1
1 119 3510489 1 4 6 1

2 120 0 1 3 5 1
2 121 8501418 3 3 4 1
2 122 8413332 3 3 4 1
2 123 9125579 3 3 5 1
2 124 11215453 3 4 4 1
2 125 12151052 3 4 5 1
2 126 11000662 3 4 4 1
2 127 11228836 3 4 4 1
2 128 12157075 3 4 5 1
2 129 14031386 4 4 6 1
2 130 12162482 3 4 5 1
2 131 11985666 3 4 5 1
2 132 9339765 3 3 5 1
2 133 11229201 3 4 4 1
2 134 11223693 3 4 3 1
2 135 9341680 3 4 2 1
2 136 6493616 2 3 1 1
2 137 4811304 2 2 2 1
2 138 5616644 2 2 3 1
2 139 2832545 1 1 3 1
2 140 2807242 1 1 4 1
2 141 3034401 1 1 5 1
2 142 3038338 1 1 5 1
2 143 3485490 1 1 6 1
2 144 5936210 2 2 5 1
2 145 3703441 1 1 6 1
2 146 3508593 1 1 7 1
2 147 3508690 1 1 6 1
2 148 3508617 1 1 6 1
2 149 3052567 1 1 5 1
2 150 3040236 1 1 5 1
2 151 5942399 2 2 5 1
2 152 6967086 2 2 6 1
2 153 6149259 2 2 5 1
2 154 8176126 2 3 4 1
2 155 11229183 3 4 3 1
2 156 7104225 2 3 2 1
2 157 4762848 2 2 2 1
2 158 5559043 2 3 1 1
2 159 8415770 3 4 1 1
2 160 9242777 3 4 2 1
2 161 7118942 2 3 2 1
2 162 11223295 3 4 3 1
2 163 9347112 3 4 2 1
2 164 6494086 2 3 1 1
2 165 6316755 2 3 1 1
2 166 8419589 3 4 1 1
2 167 6435747 2 3 1 1
2 168 6316341 2 3 1 1
2 169 6316629 2 3 1 1
2 170 4226015 2 2 1 1
2 171 4207255 2 2 1 1
2 172 2178998 1 1 1 1
2 173 2104971 1 1 1 1
2 174 2323579 1 1 2 1
2 175 2767294 1 1 3 1
2 176 4680095 2 2 2 1
2 177 2137142 1 1 1 1
2 178 2102504 1 1 1 1
2 179 2330941 1 1 2 1
2 180 4120437 2 2 1 1
2 181 2252802 1 1 1 1
2 182 4210478 2 2 1 1
2 183 2363098 1 1 2 1
2 184 2339102 1 1 2 1
2 185 2336690 1 1 2 1
2 186 2779608 1 1 3 1
2 187 2807231 1 1 4 1
2 188 5813900 2 2 5 1
2 189 2807273 1 1 4 1
2 190 2807150 1 1 3 1
2 191 2807182 1 1 3 1
2 192 4613180 2 2 2 1
2 193 2473212 1 1 2 1
2 194 2338899 1 1 2 1
2 195 2767171 1 1 3 1
2 196 2806476 1 1 3 1
2 197 2807205 1 1 4 1
2 198 3035070 1 1 5 1
2 199 3038159 1 1 5 1
2 200 4033302 1 2 4 1
2 201 6055204 2 2 5 1
2 202 6084914 2 2 5 1
2 203 8202202 2 3 4 1
2 204 11225997 3 4 3 1
2 205 8495712 3 3 4 1
2 206 11225891 3 4 3 1
2 207 11212342 3 4 4 1
2 208 11063143 3 4 4 1
2 209 11226330 3 4 4 1
2 210 9153558 3 3 5 1
2 211 6185463 2 2 5 1
2 212 3620703 1 1 6 1
2 213 3508515 1 1 7 1
2 214 3508698 1 1 7 1
2 215 3504912 1 1 6 1
2 216 3078089 1 1 5 1
2 217 3508826 1 1 6 1
2 218 3042443 1 1 5 1
2 219 6937603 2 2 6 1
2 220 8863038 3 3 5 1
2 221 6234439 2 2 5 1
2 222 10130117 3 3 6 1
2 223 12163792 3 4 5 1
2 224 9360753 3 3 5 1
2 225 11218815 3 4 4 1
2 226 8608220 3 3 3 1
2 227 11232409 3 4 4 1
2 228 12160349 3 4 5 1
2 229 12142457 3 4 5 1
2 230 12166392 3 4 5 1
2 231 8738284 3 3 4 1
2 232 8425893 3 3 3 1
2 233 8425831 3 3 3 1
2 234 11218655 3 4 3 1
2 235 8624224 3 3 3 1
2 236 11232340 3 4 4 1
2 237 8549736 3 3 4 1
2 238 5782694 2 2 4 1
2 239 5618313 2 2 4 1
2 240 3011453 1 1 3 1
2 241 4680746 2 2 2 1
2 242 2129413 1 1 1 1
2 243 2105684 1 1 1 1
2 244 4567611 2 2 2 1
2 245 2267367 1 1 1 1
2 246 2105610 1 1 1 1
2 247 2105566 1 1 1 1
2 248 2103538 1 1 1 1
2 249 4161902 2 2 1 1
2 250 5065201 2 3 1 1
2 251 8417752 3 4 1 1
2 252 6373439 2 3 1 1
2 253 6318284 2 3 1 1
2 254 4325567 2 2 1 1
2 255 4212570 2 2 1 1
2 256 6314462 2 3 1 1
2 257 6312991 2 4 1 1
2 258 6990548 2 3 2 1
2 259 4362796 2 2 1 1
2 260 2475455 1 1 2 1
2 261 2105673 1 1 1 1
2 262 4201411 2 2 1 1
2 263 6950588 2 3 2 1
2 264 7021206 2 3 2 1
2 265 6365127 2 4 1 1
2 266 6965791 2 4 2 1
2 267 8296408 3 3 3 1
2 268 8426360 3 3 4 1
2 269 8425387 3 4 3 1
2 270 3750766 1 4 3 1
2 271 2809648 1 4 4 1

3 272 3141868 1 4 3 1
3 273 11200988 3 4 3 0
3 274 9227913 3 4 2 0
3 275 8325650 3 4 1 0
3 276 8424457 3 4 1 0
3 277 8418771 3 4 1 0
3 278 8424916 3 4 1 0
3 279 8419610 3 4 1 0
3 280 8426359 3 4 1 0
3 281 8417576 3 4 1 0
3 282 8306178 3 4 1 0
3 283 8415689 3 4 1 0
3 284 8423326 3 4 1 0
3 285 8415472 3 4 1 0
3 286 8422584 3 4 1 0
3 287 8415409 3 4 1 0
3 288 8422374 3 4 1 0
3 289 8414508 3 4 1 0
3 290 8376033 3 4 1 0
3 291 8405169 3 4 1 0
3 292 8420605 3 4 1 0
3 293 8413297 3 4 1 0
3 294 8424187 3 4 1 0
3 295 8415248 3 4 1 0
3 296 8423815 3 4 1 0
3 297 8417175 3 4 1 0
3 298 8322368 3 4 1 0
3 299 8424353 3 4 1 0
3 300 8417070 3 4 1 0
3 301 8426186 3 4 1 0
3 302 8417268 3 4 1 0
