run iteration throughput state cores frequency explore
1 0 2158436 6 4 14 1
1 1 2120667 6 4 14 1
1 2 2125417 6 4 14 1
1 3 2094117 6 4 14 1
1 4 2116742 6 4 14 1
1 5 1184687 3 3 14 1
1 6 1128171 3 2 14 1
1 7 622175 2 1 14 1
1 8 587166 2 1 14 1
1 9 586096 2 1 14 1
1 10 586386 2 1 14 1
1 11 2079745 5 4 14 1
1 12 1151207 3 3 14 1
1 13 1131550 3 3 14 1
1 14 1134427 3 3 14 1
1 15 614515 2 1 14 1
1 16 2007174 5 4 14 1
1 17 2104748 6 4 14 1
1 18 1995025 5 4 14 1
1 19 2017321 5 4 14 1
1 20 1126932 3 3 14 1
1 21 1097759 3 3 14 1
1 22 1103345 3 3 14 1
1 23 1090584 3 2 14 1
1 24 1092187 3 2 14 1
1 25 1101003 3 3 14 1
1 26 1098736 3 3 14 1
1 27 613083 2 1 14 1
1 28 565586 2 1 14 1
1 29 562246 2 1 14 1
1 30 1056207 3 2 14 1
1 31 594417 2 1 14 1
1 32 565962 2 1 14 1
1 33 564840 2 1 14 1
1 34 1916924 5 4 14 1
1 35 2045212 5 4 14 1
1 36 2019335 5 4 14 1
1 37 2030823 5 4 14 1
1 38 1107579 3 2 14 1
1 39 1091594 3 2 14 1
1 40 1091245 3 2 14 1
1 41 1092156 3 2 14 1
1 42 600807 2 1 14 1
1 43 563895 2 1 14 1
1 44 565731 2 1 14 1
1 45 1097569 3 3 14 1
1 46 2030690 5 4 14 1
1 47 2044528 5 4 14 1
1 48 1986206 5 4 14 1
1 49 1135505 3 3 14 1
1 50 1095845 3 3 14 1
1 51 1094131 3 3 14 1
1 52 1101020 3 3 14 1
1 53 1088463 3 2 14 1
1 54 1089323 3 2 14 1
1 55 1091897 3 2 14 1
1 56 1091221 3 2 14 1
1 57 1084132 3 2 14 1
1 58 1089575 3 2 14 1
1 59 602613 2 1 14 1
1 60 565189 2 1 14 1
1 61 565049 2 1 14 1
1 62 565177 2 1 14 1
1 63 565277 2 1 14 1
1 64 1094235 3 3 14 1
1 65 1088394 3 2 14 1
1 66 1090638 3 2 14 1
1 67 1095900 3 3 14 1
1 68 1913302 5 4 14 1
1 69 2042981 5 4 14 1
1 70 635688 2 1 14 1
1 71 1947024 5 4 14 1
1 72 2043064 5 4 14 1

2 73 1080583 3 4 14 1
2 74 1239604 3 3 14 1
2 75 1150752 3 3 14 1
2 76 1142589 3 3 14 1
2 77 1145361 3 3 14 1
2 78 1130669 3 2 14 1
2 79 1143426 3 3 14 1
2 80 633731 2 1 14 1
2 81 1092917 3 3 14 1
2 82 1140322 3 3 14 1
2 83 2113964 6 4 14 1
2 84 2101106 6 4 14 1
2 85 2089980 6 4 14 1
2 86 1170140 3 2 14 1
2 87 1131001 3 2 14 1
2 88 1131328 3 2 14 1
2 89 1126478 3 2 14 1
2 90 1130415 3 2 14 1
2 91 1130593 3 2 14 1
2 92 596656 2 1 14 1
2 93 584330 2 1 14 1
2 94 1096282 3 2 14 1
2 95 1090947 3 2 14 1
2 96 603629 2 1 14 1
2 97 567486 2 1 14 1
2 98 568138 2 1 14 1
2 99 568267 2 1 14 1
2 100 567803 2 1 14 1
2 101 567442 2 1 14 1
2 102 565308 2 1 14 1
2 103 567984 2 1 14 1
2 104 1063071 3 2 14 1
2 105 1096392 3 2 14 1
2 106 1095217 3 2 14 1
2 107 1093802 3 2 14 1
2 108 577727 2 1 14 1
2 109 564424 2 1 14 1
2 110 563441 2 1 14 1
2 111 566454 2 1 14 1
2 112 2044955 5 4 14 1
2 113 1114939 3 3 14 1
2 114 2028668 5 4 14 1
2 115 1125434 3 2 14 1
2 116 1095499 3 2 14 1
2 117 1092800 3 2 14 1
2 118 1090402 3 2 14 1
2 119 1095434 3 2 14 1
2 120 1094837 3 2 14 1
2 121 1095073 3 2 14 1
2 122 1087720 3 2 14 1
2 123 1094680 3 2 14 1
2 124 1089896 3 2 14 1
2 125 1094267 3 2 14 1
2 126 1094448 3 2 14 1
2 127 1094007 3 2 14 1
2 128 1094383 3 2 14 1
2 129 1095028 3 2 14 1
2 130 1094294 3 2 14 1
2 131 1101157 3 3 14 1
2 132 1095996 3 3 14 1
2 133 1096828 3 3 14 1
2 134 1098395 3 3 14 1
2 135 1099100 3 3 14 1
2 136 1095551 3 3 14 1
2 137 1099754 3 3 14 1
2 138 1091474 3 2 14 1
2 139 1093120 3 2 14 1
2 140 2018777 5 4 14 1
2 141 2047041 5 4 14 1
2 142 2032688 5 4 14 1
2 143 2047826 5 4 14 1
2 144 2035434 5 4 14 1
2 145 1084546 3 2 14 1
2 146 1101284 3 3 14 1
2 147 1098350 3 3 14 1
2 148 2017082 5 4 14 1
2 149 1129283 3 2 14 1

3 150 598003 2 4 14 1
3 151 1215164 3 3 14 0
3 152 1152897 3 3 14 0
3 153 1154889 3 3 14 0
3 154 1149358 3 3 14 0
3 155 1146489 3 3 14 0
3 156 1145408 3 3 14 0
3 157 1143759 3 3 14 0
3 158 1143206 3 3 14 0
3 159 1144625 3 3 14 0
3 160 1141379 3 3 14 0
3 161 1140798 3 3 14 0
3 162 1143314 3 3 14 0
3 163 1141064 3 3 14 0
3 164 1138158 3 3 14 0
3 165 1139216 3 3 14 0
3 166 1138808 3 3 14 0
3 167 1139792 3 3 14 0
3 168 1138758 3 3 14 0
3 169 1138869 3 3 14 0
3 170 1140599 3 3 14 0
3 171 1138873 3 3 14 0
3 172 1135888 3 3 14 0
3 173 1115639 3 3 14 0
3 174 1104201 3 3 14 0
3 175 1101136 3 3 14 0
3 176 1106750 3 3 14 0
3 177 1101073 3 3 14 0
3 178 1105728 3 3 14 0
3 179 1103158 3 3 14 0
3 180 1102500 3 3 14 0
3 181 1103186 3 3 14 0
3 182 1100348 3 3 14 0
3 183 1104221 3 3 14 0
3 184 1101137 3 3 14 0
3 185 1103828 3 3 14 0
3 186 1101415 3 3 14 0
3 187 1103561 3 3 14 0
3 188 1100799 3 3 14 0
3 189 1103179 3 3 14 0
3 190 1100847 3 3 14 0
3 191 1103633 3 3 14 0
3 192 1099406 3 3 14 0
3 193 1106176 3 3 14 0
3 194 1100939 3 3 14 0
3 195 1103027 3 3 14 0
