run iteration throughput state cores frequency explore
1 0 2166729 6 4 14 1
1 1 2056105 5 4 13 1
1 2 1110649 3 3 13 1
1 3 1941029 5 4 13 1
1 4 2059094 5 4 13 1
1 5 2046488 5 4 12 1
1 6 2028297 5 4 12 1
1 7 1979648 5 4 11 1
1 8 1045353 3 3 11 1
1 9 1895116 5 4 10 1
1 10 1946763 5 4 9 1
1 11 1881105 5 4 8 1
1 12 1020391 3 3 8 1
1 13 1877686 5 4 8 1
1 14 1872657 5 4 8 1
1 15 1775971 5 4 7 1
1 16 903507 3 3 6 1
1 17 1718090 5 4 7 1
1 18 1764394 5 4 7 1
1 19 1779032 5 4 7 1
1 20 1762423 5 4 7 1
1 21 881205 3 3 6 1
1 22 1654674 4 4 6 1
1 23 1661571 4 4 5 1
1 24 1755232 5 4 6 1
1 25 1761847 5 4 6 1
1 26 951776 3 3 7 1
1 27 818027 2 2 8 1
1 28 466703 2 1 9 1
1 29 924617 3 2 9 1
1 30 477802 2 1 10 1
1 31 896518 3 2 10 1
1 32 485468 2 1 10 1
1 33 461883 2 1 10 1
1 34 911854 3 2 11 1
1 35 944038 3 3 10 1
1 36 1930458 5 4 11 1
1 37 1916541 5 4 11 1
1 38 951693 3 3 10 1
1 39 927747 3 2 10 1
1 40 945338 3 3 9 1
1 41 845686 3 2 8 1
1 42 796961 2 2 7 1
1 43 874517 3 3 6 1
1 44 789340 2 2 5 1
1 45 431613 2 1 6 1
1 46 428967 2 1 7 1
1 47 793496 2 2 7 1
1 48 815925 2 2 8 1
1 49 934549 3 3 9 1
1 50 943011 3 3 10 1
1 51 1812588 5 4 9 1
1 52 1708887 5 4 8 1
1 53 1804836 5 4 8 1
1 54 1758626 5 4 7 1
1 55 895341 3 3 7 1
1 56 875958 3 3 6 1
1 57 786928 2 2 5 1
1 58 794466 2 2 6 1
1 59 791847 2 2 6 1
1 60 787920 2 2 6 1
1 61 789480 2 2 6 1
1 62 802183 2 2 6 1
1 63 871982 3 3 7 1
1 64 896601 3 2 8 1
1 65 795506 2 2 7 1
1 66 794963 2 2 6 1
1 67 791672 2 2 7 1
1 68 788893 2 2 6 1
1 69 446027 2 1 6 1
1 70 428988 2 1 7 1
1 71 428379 2 1 6 1
1 72 405804 1 1 5 1
1 73 764325 2 2 4 1
1 74 410508 1 1 5 1
1 75 798585 2 2 6 1
1 76 444589 2 1 6 1
1 77 785995 2 2 6 1
1 78 818366 2 2 6 1

2 79 432348 2 1 7 1
2 80 572129 2 1 8 1
2 81 485238 2 1 9 1
2 82 914199 3 2 8 1
2 83 951045 3 3 8 1
2 84 994057 3 2 9 1
2 85 985766 3 3 9 1
2 86 987767 3 3 9 1
2 87 946587 3 2 9 1
2 88 489387 2 1 8 1
2 89 450353 2 1 7 1
2 90 838198 3 2 6 1
2 91 449282 2 1 7 1
2 92 448236 2 1 7 1
2 93 448376 2 1 7 1
2 94 460691 2 1 8 1
2 95 460179 2 1 8 1
2 96 448650 2 1 7 1
2 97 843682 3 2 6 1
2 98 472669 2 1 6 1
2 99 818116 2 2 6 1
2 100 864330 3 3 5 1
2 101 884290 3 2 6 1
2 102 840302 3 2 6 1
2 103 423993 2 1 5 1
2 104 409477 1 1 4 1
2 105 422356 2 1 5 1
2 106 758276 2 2 5 1
2 107 879785 3 2 6 1
2 108 847684 3 2 7 1
2 109 870150 3 2 6 1
2 110 916535 3 3 7 1
2 111 879636 3 2 6 1
2 112 867492 3 2 6 1
2 113 455152 2 1 7 1
2 114 458405 2 1 8 1
2 115 477087 2 1 9 1
2 116 459043 2 1 8 1
2 117 447854 2 1 7 1
2 118 765733 2 2 6 1
2 119 827977 2 3 5 1
2 120 775674 2 2 4 1
2 121 753886 2 2 4 1
2 122 762940 2 2 3 1
2 123 800355 2 3 4 1
2 124 829912 2 3 5 1
