run iteration throughput state cores frequency explore
1 0 4844 4 4 14 1
1 1 4627 3 4 13 1
1 2 4766 4 4 14 1
1 3 4776 4 4 14 1
1 4 5491 4 3 14 1
1 5 5663 4 3 14 1
1 6 7944 6 2 14 1
1 7 10461 6 2 14 1
1 8 10120 6 2 13 1
1 9 11248 6 2 14 1
1 10 11599 6 2 14 1
1 11 6096 4 1 14 1
1 12 5431 4 1 14 1
1 13 9862 6 2 13 1
1 14 6190 4 1 14 1
1 15 5580 4 1 13 1
1 16 5584 4 1 12 1
1 17 10022 6 2 13 1
1 18 11803 6 2 14 1
1 19 10425 6 2 14 1
1 20 12520 6 2 14 1

2 21 2611 2 1 14 1
2 22 4635 3 1 13 1
2 23 4030 3 1 12 1
2 24 4755 4 2 12 1
2 25 5372 4 3 12 1
2 26 5544 4 4 12 1
2 27 5601 4 3 13 1
2 28 12722 6 3 13 1
2 29 21146 6 4 13 1
2 30 16420 6 3 13 1
2 31 18369 6 3 14 1
2 32 12791 6 2 13 1
2 33 18519 6 3 14 1
2 34 13301 6 2 14 1
2 35 6110 4 1 13 1

3 36 290 1 2 13 1
3 37 4748 4 1 12 0
3 38 4584 3 1 11 0
3 39 3983 3 1 10 0
3 40 4009 3 1 9 0
3 41 3697 3 1 8 0
3 42 3315 3 1 7 0
3 43 3359 3 1 6 0
3 44 3070 2 1 5 0
3 45 2921 2 1 4 0
3 46 3154 2 1 5 0
3 47 5891 4 2 4 0
3 48 3371 3 1 3 0
3 49 2618 2 1 2 0
3 50 5134 4 2 3 0
3 51 2644 2 1 2 0
3 52 5781 4 2 3 0
3 53 2851 2 1 2 0
3 54 5581 4 2 3 0
3 55 2540 2 1 2 0
3 56 2490 2 1 2 0
3 57 2304 2 1 1 0
3 58 2423 2 1 2 0
3 59 2500 2 1 2 0
3 60 4707 3 2 2 0
3 61 2473 2 1 1 0
3 62 4967 4 2 1 0
3 63 2647 2 1 1 0
3 64 5141 4 2 1 0
3 65 2871 2 1 1 0
3 66 5057 4 2 1 0
3 67 2635 2 1 1 0
3 68 5167 4 2 1 0
3 69 2773 2 1 1 0
3 70 5036 4 2 1 0
3 71 3115 2 1 2 0
3 72 2662 2 1 1 0
3 73 5903 4 2 2 0
3 74 10557 6 3 3 0
3 75 12022 6 4 2 0

4 76 1345 1 4 1 0
4 77 2806 2 3 2 0
4 78 3109 2 4 2 0
4 79 2699 2 4 1 0
4 80 2829 2 3 2 0
4 81 2861 2 3 2 0
4 82 3040 2 3 1 0
4 83 2722 2 3 2 0
4 84 2903 2 2 2 0
4 85 2052 2 1 1 0
4 86 2831 2 2 2 0
4 87 3463 3 3 2 0
4 88 4557 3 2 1 0
4 89 2729 2 1 1 0
4 90 4744 4 2 1 0
4 91 4654 3 2 1 0
4 92 2475 2 1 1 0
4 93 4378 3 2 1 0
4 94 2376 2 1 1 0
4 95 4003 3 2 1 0
4 96 2493 2 1 1 0
4 97 4919 4 2 1 0
4 98 4949 4 2 1 0
