run iteration throughput state cores frequency explore
1 0 94409 5 4 14 1
1 1 90261 5 4 13 1
1 2 90324 5 4 13 1
1 3 90712 5 4 12 1
1 4 82058 5 4 11 1
1 5 59284 4 3 10 1
1 6 76733 5 4 10 1
1 7 59846 4 3 9 1
1 8 69178 4 4 8 1
1 9 69174 4 4 8 1
1 10 69175 4 4 8 1
1 11 64867 4 4 7 1
1 12 64867 4 4 7 1
1 13 64902 4 4 6 1
1 14 64893 4 4 7 1
1 15 49893 3 3 7 1
1 16 35844 2 2 8 1
1 17 50553 3 3 9 1
1 18 58434 4 3 10 1
1 19 39460 3 2 9 1
1 20 20210 2 1 9 1
1 21 37800 2 2 9 1
1 22 50029 3 3 8 1
1 23 73600 4 4 9 1
1 24 59090 4 3 10 1
1 25 39815 3 2 9 1
1 26 20535 2 1 10 1
1 27 20488 2 1 11 1
1 28 37675 2 2 10 1
1 29 21135 2 1 9 1
1 30 19470 2 1 10 1
1 31 19449 2 1 10 1
1 32 20559 2 1 11 1
1 33 20548 2 1 11 1
1 34 22686 2 1 12 1
1 35 22667 2 1 13 1
1 36 44257 3 2 12 1
1 37 45351 3 2 12 1
1 38 23813 2 1 12 1
1 39 22709 2 1 13 1
1 40 23741 2 1 14 1
1 41 23772 2 1 14 1
1 42 22812 2 1 13 1
1 43 23722 2 1 14 1
1 44 35756 2 2 13 1
1 45 60700 4 3 14 1
1 46 90553 5 4 13 1
1 47 90879 5 4 13 1
1 48 95239 6 4 14 1
1 49 95205 6 4 14 1
1 50 95263 6 4 14 1
1 51 95223 6 4 14 1
1 52 72842 4 3 14 1
1 53 49210 3 2 14 1
1 54 24607 2 1 13 1
1 55 23715 2 1 14 1
1 56 22735 2 1 13 1
1 57 36277 2 2 14 1
1 58 47637 3 2 14 1
1 59 47631 3 2 14 1
1 60 47621 3 2 14 1
1 61 45551 3 2 13 1
1 62 45439 3 2 12 1
1 63 23869 2 1 12 1
1 64 22734 2 1 12 1
1 65 20692 2 1 11 1
1 66 38712 3 2 11 1
1 67 21244 2 1 10 1
1 68 19447 2 1 9 1
1 69 19473 2 1 10 1
1 70 19474 2 1 9 1
1 71 36895 2 2 10 1
1 72 55257 3 3 11 1
1 73 40157 3 2 10 1
1 74 20714 2 1 10 1
1 75 20497 2 1 11 1
1 76 22570 2 1 12 1
1 77 22736 2 1 13 1
1 78 22711 2 1 13 1
1 79 22745 2 1 13 1
1 80 22746 2 1 12 1
1 81 22740 2 1 13 1
1 82 22716 2 1 12 1
1 83 44042 3 2 13 1
1 84 45462 3 2 12 1
1 85 41375 3 2 11 1
1 86 55924 3 3 10 1
1 87 58421 4 3 9 1
1 88 58400 4 3 10 1
1 89 58396 4 3 10 1
1 90 40689 3 2 9 1
1 91 17321 1 1 8 1
1 92 38724 3 2 9 1
